film_title,category_name,rental_count
Alter Victory,Animation,22
Anaconda Confessions,Animation,21
Bikini Borrowers,Animation,17
Blackout Private,Animation,27
Borrowers Bedazzled,Animation,22
Canyon Stock,Animation,19
Carol Texas,Animation,18
Champion Flatliners,Animation,13
Clash Freddy,Animation,25
Club Graffiti,Animation,19
Crossroads Casualties,Animation,21
Dares Pluto,Animation,9
Desire Alien,Animation,8
Dogma Family,Animation,30
Donnie Alley,Animation,14
Doors President,Animation,19
Double Wrath,Animation,25
Duck Racer,Animation,6
Early Home,Animation,7
Falcon Volume,Animation,22
Fight Jawbreaker,Animation,22
Flying Hook,Animation,20
Forrester Comancheros,Animation,27
Gangs Pride,Animation,27
Ghostbusters Elf,Animation,9
Harper Dying,Animation,20
Hook Chariots,Animation,13
Horn Working,Animation,24
Inch Jet,Animation,18
Insects Stone,Animation,18
Intentions Empire,Animation,17
Ishtar Rocketeer,Animation,7
Juggler Hardly,Animation,32
Lawless Vision,Animation,17
Luke Mummy,Animation,7
Massage Image,Animation,12
Menagerie Rushmore,Animation,7
Miracle Virtual,Animation,9
Mission Zoolander,Animation,18
Nash Chocolat,Animation,15
Oscar Gold,Animation,25
Oz Liaisons,Animation,24
Packer Madigan,Animation,22
Pond Seattle,Animation,19
Potluck Mixed,Animation,11
Potter Connecticut,Animation,17
Pride Alamo,Animation,16
Punk Divorce,Animation,8
Room Roman,Animation,20
Sleepless Monsoon,Animation,20
Snowman Rollercoaster,Animation,23
Sons Interview,Animation,15
Storm Happiness,Animation,29
Sugar Wonka,Animation,17
Sunrise League,Animation,24
Telemark Heartbreakers,Animation,25
Theory Mermaid,Animation,11
Thief Pelican,Animation,19
Titanic Boondock,Animation,23
Tracy Cider,Animation,26
Turn Star,Animation,14
Wait Cider,Animation,21
Watch Tracy,Animation,16
Wonka Sea,Animation,18
Backlash Undefeated,Children,19
Bear Graceland,Children,22
Beneath Rush,Children,10
Betrayed Rear,Children,15
Cabin Flash,Children,15
Casper Dragonfly,Children,8
Christmas Moonshine,Children,21
Circus Youth,Children,15
Clockwork Paradise,Children,10
Comancheros Enemy,Children,6
Crooked Frogmen,Children,23
Daughter Madigan,Children,9
Doctor Grail,Children,7
Empire Malkovich,Children,21
Fargo Gandhi,Children,24
Forever Candidate,Children,13
Full Flatliners,Children,5
Fury Murder,Children,19
Ghost Groundhog,Children,21
Giant Troopers,Children,28
Gorgeous Bingo,Children,19
Graduate Lord,Children,16
Hall Cassidy,Children,16
Heartbreakers Bright,Children,20
Hollywood Anonymous,Children,13
Holocaust Highball,Children,17
Idols Snatchers,Children,30
Invasion Cyclone,Children,27
Jersey Sassy,Children,6
Jumping Wrath,Children,24
Labyrinth League,Children,15
Language Cowboy,Children,11
Legally Secretary,Children,9
Magic Mallrats,Children,7
Maker Gables,Children,10
Microcosmos Paradise,Children,13
Model Fish,Children,15
Murder Antitrust,Children,23
Noon Papi,Children,17
Polish Brooklyn,Children,18
Robbers Joon,Children,31
Sabrina Midnight,Children,21
Santa Paris,Children,11
Scarface Bang,Children,18
Shepherd Midsummer,Children,25
Splendor Patton,Children,21
Strangelove Desire,Children,24
Stranger Strangers,Children,11
Sundance Invasion,Children,19
Sweethearts Suspects,Children,29
Tequila Past,Children,6
Ties Hunger,Children,11
Tootsie Pilot,Children,15
Twisted Pirates,Children,11
Uptown Young,Children,12
Warlock Werewolf,Children,6
Wrong Behavior,Children,20
Zoolander Fiction,Children,17
Arizona Bang,Classics,21
Beast Hunchback,Classics,11
Bound Cheaper,Classics,24
Candidate Perdition,Classics,18
Center Dinosaur,Classics,24
Color Philadelphia,Classics,24
Conspiracy Spirit,Classics,5
Core Suit,Classics,18
Creepers Kane,Classics,14
Cruelty Unforgiven,Classics,7
Detective Vision,Classics,27
Dracula Crystal,Classics,21
Dynamite Tarzan,Classics,25
Extraordinary Conquerer,Classics,6
Frost Head,Classics,30
Galaxy Sweethearts,Classics,18
Gilbert Pelican,Classics,9
Gilmore Boiled,Classics,28
Holy Tadpole,Classics,9
Hope Tootsie,Classics,18
Hyde Doctor,Classics,26
Iron Moon,Classics,11
Island Exorcist,Classics,26
Jeepers Wedding,Classics,16
Jeopardy Encino,Classics,10
Jerk Paycheck,Classics,20
Jingle Sagebrush,Classics,13
League Hellfighters,Classics,17
Lights Deer,Classics,8
Loathing Legally,Classics,27
Lovely Jingle,Classics,14
Lover Truman,Classics,10
Magnificent Chitty,Classics,8
Malkovich Pet,Classics,26
Million Ace,Classics,20
Musketeers Wait,Classics,17
October Submarine,Classics,11
Pajama Jawbreaker,Classics,14
Patient Sister,Classics,19
Prejudice Oleander,Classics,20
Requiem Tycoon,Classics,19
Right Cranes,Classics,10
Roots Remember,Classics,17
Sling Luke,Classics,6
Snatchers Montezuma,Classics,9
Spiking Element,Classics,13
Steel Santa,Classics,23
Summer Scarface,Classics,16
Timberland Sky,Classics,31
Tomorrow Hustler,Classics,25
Towers Hurricane,Classics,11
