title,name,rental_duration,standard_quartile
Sweethearts Suspects,Children,3,1
Go Purple,Music,3,1
Bilko Anonymous,Family,3,1
Wait Cider,Animation,3,1
Daughter Madigan,Children,3,1
Turn Star,Animation,3,1
Rush Goodfellas,Family,3,1
King Evolution,Family,3,1
Tracy Cider,Animation,3,1
Wisdom Worker,Comedy,3,1
Telegraph Voyage,Music,3,1
Miracle Virtual,Animation,3,1
Jerk Paycheck,Classics,3,1
Doors President,Animation,3,1
Gables Metropolis,Family,3,1
Jeopardy Encino,Classics,3,1
Downhill Enough,Comedy,3,1
Tootsie Pilot,Children,3,1
Baked Cleopatra,Family,3,1
Mission Zoolander,Animation,3,1
Fury Murder,Children,3,1
Sons Interview,Animation,3,1
Ties Hunger,Children,3,1
Earring Instinct,Family,3,1
Titanic Boondock,Animation,3,1
Alone Trip,Music,3,1
Packer Madigan,Animation,3,1
Tomorrow Hustler,Classics,3,1
Flintstones Happiness,Comedy,3,1
Pajama Jawbreaker,Classics,3,1
Fight Jawbreaker,Animation,3,1
Fargo Gandhi,Children,3,1
Ferris Mother,Comedy,3,1
Beast Hunchback,Classics,3,1
Jeepers Wedding,Classics,3,1
Stranger Strangers,Children,3,1
Strictly Scarface,Comedy,3,1
Secrets Paradise,Family,3,1
Personal Ladybugs,Music,3,1
Magic Mallrats,Children,3,1
Magnificent Chitty,Classics,3,1
Anaconda Confessions,Animation,3,1
Intentions Empire,Animation,3,1
Searchers Wait,Comedy,3,1
Potluck Mixed,Animation,3,1
Insects Stone,Animation,3,1
Velvet Terminator,Comedy,3,1
Hustler Party,Comedy,3,1
Sugar Wonka,Animation,3,1
Lover Truman,Classics,3,1
Song Hedwig,Music,3,1
Pure Runner,Comedy,3,1
Snowman Rollercoaster,Animation,3,1
Range Moonwalker,Family,3,1
Scarface Bang,Children,3,1
Blood Argonauts,Family,3,1
Words Hunter,Music,3,1
Zorro Ark,Comedy,3,1
Core Suit,Classics,3,1
Lovely Jingle,Classics,3,1
Virtual Spoilers,Family,3,1
Arizona Bang,Classics,3,1
Sunrise League,Animation,3,1
Heartbreakers Bright,Children,3,1
Confused Candles,Family,3,1
Harper Dying,Animation,3,1
Casper Dragonfly,Children,3,1
Vanishing Rocky,Music,3,1
Lonely Elephant,Comedy,3,1
Valley Packer,Comedy,3,1
Timberland Sky,Classics,3,1
Backlash Undefeated,Children,3,1
Maker Gables,Children,4,1
Mallrats United,Comedy,4,1
Massage Image,Animation,4,1
Memento Zoolander,Comedy,4,1
Million Ace,Classics,4,1
Minority Kiss,Music,4,1
Model Fish,Children,4,1
Champion Flatliners,Animation,4,1
Mulan Moon,Comedy,4,1
Natural Stock,Family,4,1
Snatchers Montezuma,Classics,4,1
Outfield Massacre,Music,4,1
Oz Liaisons,Animation,4,1
Vertigo Northwest,Comedy,4,1
Pinocchio Simon,Comedy,4,1
Pittsburgh Hunchback,Family,4,1
Prix Undefeated,Family,4,1
Club Graffiti,Animation,4,1
Rage Games,Family,4,1
Roots Remember,Classics,4,2
Robbery Bright,Family,4,2
Conspiracy Spirit,Classics,4,2
Conversation Downhill,Family,4,2
Twisted Pirates,Children,4,2
Tramp Others,Comedy,4,2
Detective Vision,Classics,4,2
Doctor Grail,Children,4,2
Donnie Alley,Animation,4,2
Doom Dancing,Comedy,4,2
Double Wrath,Animation,4,2
Duck Racer,Animation,4,2
Dynamite Tarzan,Classics,4,2
Elf Murder,Music,4,2
Bear Graceland,Children,4,2
Finding Anaconda,Family,4,2
Fireball Philadelphia,Comedy,4,2
Date Speed,Family,4,2
Galaxy Sweethearts,Classics,4,2
Gangs Pride,Animation,4,2
Taxi Kick,Music,4,2
Gold River,Comedy,4,2
Gorgeous Bingo,Children,4,2
Birch Antitrust,Music,4,2
Birdcage Casper,Music,4,2
Hate Handicap,Comedy,4,2
Hocus Frida,Family,4,2
Youth Kick,Music,4,2
Hope Tootsie,Classics,4,2
Horn Working,Animation,4,2
Amelie Hellfighters,Music,4,2
Wizard Coldblooded,Music,4,2
Indian Love,Family,4,2
Ishtar Rocketeer,Animation,4,2
Jaws Harry,Comedy,4,2
Strangelove Desire,Children,4,2
Juggler Hardly,Animation,4,2
Jumping Wrath,Children,4,2
Steel Santa,Classics,4,2
Knock Warlock,Comedy,4,2
Cabin Flash,Children,4,2
Candidate Perdition,Classics,4,2
Stage World,Comedy,4,2
Life Twisted,Comedy,4,2
Loathing Legally,Classics,4,2
Lolita World,Family,4,2
Spartacus Cheaper,Family,4,2
Carol Texas,Animation,4,2
Hall Cassidy,Children,5,2
Hanover Galaxy,Music,5,2
Grosse Wonderful,Music,5,2
Louisiana Harry,Family,5,2
Dying Maker,Comedy,5,2
Super Wyoming,Family,5,2
Heavenly Gun,Music,5,2
Comancheros Enemy,Children,5,2
Mystic Truman,Comedy,5,2
Sundance Invasion,Children,5,2
Chisum Behavior,Family,5,2
Remember Diary,Family,5,2
Summer Scarface,Classics,5,2
Sabrina Midnight,Children,5,2
Closer Bang,Comedy,5,2
Idols Snatchers,Children,5,2
Language Cowboy,Children,5,2
Anthem Luke,Comedy,5,2
Submarine Bed,Comedy,5,2
Blues Instinct,Family,5,2
League Hellfighters,Classics,5,2
Apache Divine,Family,5,2
Hyde Doctor,Classics,5,2
Manchurian Curtain,Family,5,2
Bound Cheaper,Classics,5,2
Splendor Patton,Children,5,2
Potter Connecticut,Animation,5,2
Insider Arizona,Music,5,2
Circus Youth,Children,5,2
Invasion Cyclone,Children,5,2
Sister Freddy,Children,5,2
Luke Mummy,Animation,5,2
Sleepless Monsoon,Animation,5,2
Jason Trap,Family,5,2
Jawbreaker Brooklyn,Music,5,2
Splash Gump,Family,5,2
Falcon Volume,Animation,5,2
Noon Papi,Children,5,2
Paradise Sabrina,Comedy,5,2
Enemy Odds,Music,5,2
Banger Pinocchio,Music,5,2
Sling Luke,Classics,5,2
Bang Kwai,Family,5,3
Balloon Homeward,Music,5,3
Thief Pelican,Animation,5,3
Theory Mermaid,Animation,5,3
Freedom Cleopatra,Comedy,5,3
